"estacion","nombre","latitud","longitud"
"105SO","km 105 de Canal Alto, Son.",27.1,-109.6
"27DESEPCFE","Veintisiete de septiembre, Sin. CFE*",26.509444,-108.575833
"2RSMX","Dos Ríos, Méx.",19.377222,-99.377222
"3RSSO","Tres Ríos, Son.",29.842778,-108.711944
"5DEMARZO","Cinco de marzo, Chis. INIFAP*",15.044444,-92.533056
"5DEMAYOSL","Cinco de mayo, S.L.P. INIFAP*",22.163889,-99.194167
"5DEMAYOTP","Cinco de mayo, Tamps. INIFAP*",25.55,-97.616944
"5HERMANOS","Cinco Hermanos, Sin. INIFAP*",24.829167,-107.863611
"ABASOLO","Abasolo, Tamps. SGT*",24.046667,-98.370556
"ABASOLO50","Abasolo 50009, Tamps. INIFAP*",24.091944,-98.396111
"ABASOLO99","Abasolo 998448, Tamps. INIFAP*",24.09,-98.398056
"ABAYC","Abalá, Yuc.",20.649444,-89.681111
"ABEJAS","Abejas, Son. REMAS*",28.904722,-111.226667
"ABLGR","Aguas Blancas, Gro.",17.035278,-100.061944
"ABLQR","Agua Blanca, Q. Roo",18.008611,-88.823056
"ABRAG","Abelardo L. Rodríguez, Ags.",21.916944,-102.427778
"ABREGO","Ábrego, Zac. INIFAP*",23.230556,-103.338611
"ABRMR","El Abrevadero, Mor.",18.645,-98.751389
"ABSGJ","Abasolo, Gto.",20.446944,-101.536667
"ABSTP","Abasolo, Tamps.",24.065556,-98.39
"ABUELOS","Rancho los Abuelos, Coah. INIFAP*",25.728889,-101.023056
"ACABS","Agua Caliente, B.C.S.",23.444167,-109.801111
"ACACP","Acala, Chis.",16.552778,-92.804167
"ACAGR","Acapulco, Gro.",16.849722,-99.906667
"ACAHD","Acaxochitlán, Hgo.",20.150833,-98.202222
"ACALACFE","Acala, Chis. CFE*",16.655278,-92.955278
"ACANR","Acaponeta, Nay.",22.49,-105.354167
"ACAPB","Acatepec, Pue.",19.016667,-98.285
"ACAPONETA","Acaponeta, Nay. SMN*",22.466389,-105.385278
"ACAPONETAINIFAP","Acaponeta, Nay. INIFAP*",22.479444,-105.403333
"ACAPULCO","Acapulco, Gro. SMN*",16.762778,-99.749167
"ACAPULCOmar","Acapulco, Gro. SEMAR*",16.821944,-99.909444
"ACAPULCOob","Observatorio de Acapulco, Gro. SMN*",16.762778,-99.749167
"ACASI","Agua Caliente, Sin.",23.200556,-106.05
"ACATLANHD","Acatlán. Hgo. INIFAP*",20.151944,-98.434722
"ACATLANOX","Acatlán, Oax. INIFAP*",18.526667,-96.584722
"ACAVC","Acatlán, Ver.",19.695833,-96.843889
"ACAXOCHITLAN","Acaxochitlán, Hgo. INIFAP*",20.127778,-98.126111
"ACAYAHUALCO","Acayahualco, Gro. INIFAP*",18.227778,-99.481944
"ACAYC","Acanceh, Yuc.",20.811667,-89.446944
"ACAYUCAN","Acayucan, Ver. SMN*",18.044444,-94.931389
"ACAYUCANIF","Acayucan 2, Ver. INIFAP*",18.04,-94.931944
"ACAYUCANINIFAP","Acayucan, Ver. INIFAP*",18.044444,-94.931389
"ACDMC","Acueducto Río Duero del DR061, Mich.",19.933333,-102.25
"ACDZC","Ing. Antonio Campuzano Duarte, Zac.",22.495833,-103.1625
"ACEHD","Arroyo del centro, Hgo.",20.455833,-99.230833
"ACEQUIAMADRE","Acequiamadre, Chih. SGT*",31.76,-106.51
"AcequiaMadreC","Rio Grande Acequia Mader cerca Cd. Juarez, Chih. CILA*",31.76,-106.508889
"ACHAPALAGDL","Acueducto Chapala-Guadalajara, Jal. SGT*",20.316667,-103.133333
"ACHMR","Achichipico, Mor.",18.947222,-98.829167
"ACHPB","Alchichilca, Pue.",19.45,-97.418056
"ACHZC","Achimec, Jal.",22.327222,-103.225278
"ACJPB","Acajete, Pue.",19.0625,-97.934167
"ACLMX","Puente Atlacomulco, Méx.",19.788889,-99.893056
"ACMCM","Ávila Camacho, Col.",19.310833,-104.259167
"ACNGJ","Acámbaro, Gto.",20.0325,-100.712222
"ACNSO","Aconchi, Son.",29.825,-110.226111
"ACOGJ","Canal Antonio Coria, Gto.",20.644167,-101.295
"ACOHD","Arroyo Colorado, Hgo.",20.336389,-98.676667
"ACOLMAN","Acolman, Méx. OCAVM*",19.634722,-98.911667
"ACOPILCO","Acopilco, Cd. de Méx. UNAM*",19.3225,-99.329444
"ACQZC","Achoquen, Zac.",21.5225,-103.05
"ACSGJ","Arroyo los castillos, Gto.",21.2,-101.666667
"ACTHD","Actopan, Hgo.",20.268056,-98.941667
"ACTJL","Acatlán, Jal.",20.424444,-103.591111
"ACTOPAN","Actopan, Hgo. OCAVM*",20.280556,-98.9725
"ACTOPANVER","Actopan, Ver. SGT*",19.495278,-96.583333
"ACTSI","Acatitán, Sin.",24.047222,-106.654167
"ACTTP","Profesor y General Alberto Carrera Torres, Tamps.",24.551667,-99.465833
"ACTVC","Actopan, Ver.",19.495,-96.5875
"ACUGR","Acapulco, Gro. SMN*",16.762778,-99.749167
"ACUITZIODELCANJ","Acuitzio del Canje, Mich. INIFAP*",19.503333,-101.332222
"ACULCO","Planta de bombeo Aculco, Cd. de Méx. SACMEX*",19.379167,-99.099722
"ACYCP","Acacoyagua, Chis.",15.075,-92.733333
"ACYVC","Acayucan, Ver.",17.96,-94.917222
"ACZMX","Acazuchitlán, Méx.",20.166667,-99.6
"ADCGR","Almacén de Chilpancingo, Gro.",17.6,-99.5
"ADEZC","El Ahijadero, Zac.",23.3475,-103.15
"ADHSO","Adolfo de la Huerta, Son.",29.708611,-108.982778
"ADIGJ","Adjuntas pequeña irrigación Río Turbio, Gto.",0,0
"ADJMC","Adjuntas, Mich.",17.968611,-102.195556
"ADJNL","Las Adjuntas, N.L.",24.883333,-99.680556
"ADJQT","Las Adjuntas, Qro. SGT*",20.593056,-100.486944
"ADJUNTASHUALA","Las Adjuntas, N.L. SGT*",24.897222,-99.680556
"ADLCL","Allende, Coah.",28.344444,-100.837222
"ADOAG","Los Adobes, Ags.",21.803333,-102.693889
"ADOPB","Acatlán de Osorio, Pue.",18.277222,-98.055
"ADRGR","Atenango del Río, Gro.",18.1,-99.1
"ADUANACOLOMBIA","Aduana Colombia, N.L. INIFAP*",27.694167,-99.753056
"ADUMC","Adjuntas, Mich.",20.231389,-101.99
"AEGGJ","Apaseo el Grande, Gto.",20.533333,-100.683333
"AERBN","Aeropuerto, B.C.",0,0
"AERDF","Aeropuerto, Cd. de Méx. SMN*",19.34,-99.076667
"AERGR","Observatorio de Chilpancingo Aeropuerto, Gro.",17.576389,-99.516944
"AEROPISTASC","AEROPISTA S.C. GRO.",17.769167,-98.576111
"AEROPUERTO","Aeropuerto, Cd. de Méx.",19.34,-99.076667
"AEROPUERTOOX","Aeropuerto, Oax. SGT*",17.001389,-96.716944
"AFIGR","Andrés Figueroa, Gro.",18.075833,-100.5175
"AFRPB","Áfricam, Pue.",18.9425,-98.135833
"AFTCL","Ateneo Fuentes, Coah.",25.3,-101.2
"AG2NR","Estación Auxiliar de Aguamilpa, Nay.",21.839167,-104.802222
"AGAMC","Albino García, Mich.",20.083333,-102.05
"AGAPB","Alcomunga, Pue.",18.430556,-97.025
"AGCGR","Agua de Correa, Gro.",17.651944,-101.523611
"AGCSO","Agua Caliente, Son.",27.75,-109.887778
"AGDVC","Agua Dulce, Ver.",18.141667,-94.144444
"AGGNL","Agualeguas, N.L.",26.2925,-99.547778
"AGHBN","Agua Hechicera, B.C.",32.271944,-116.204167
"AGLCL","Las Águilas, Coah.",25.536111,-101.704167
"AGLNL","Agualeguas, N.L.",25.094167,-99.086944
"AGLOX","El Águila, Oax.",17.725833,-97.278889
"AGMNR","Aguamilpa Solidaridad, Nay.",21.839167,-104.802222
"AGMVC","Madisa, Ver.",18.05,-94.205556
"AGOMC","Agostitlán, Mich.",19.579722,-100.608889
"AGPDR","Agua Puerca, Dgo.",25.548333,-104.583889
"AGRICOLAGOTSIS","Agrícola Gotsis, Sin. INIFAP*",26.2375,-109.009167
"AGRICULTORESUNI","Agricultores Unidos, Chih. INIFAP*",30.154444,-107.296667
"AGRIPOSA","Agroipsa, Chis. INIFAP*",17.59,-91.946111
"AGRIQUE","Agrique, Qro. INIFAP*",20.503889,-100.158056
"AGROCENTROSUR","Agrocentrosur, Jal. INIFAP*",19.689444,-103.454722
"AGRODELTACUIJE","Agrodelta el Cuije, N.L. INIFAP*",25.101944,-100.65
"AGROEDUCA","Agroeduca, Gto. INIFAP*",21.010833,-101.651111
"AGROEgp","Agroeduca, Gto. INIFAP*",21.010833,-101.651389
"AGROINDSONORA","Agroindustrial Sonora, Son. INIFAP*",29.006944,-111.605833
"AGSAG","Aguascalientes, Ags.",21.895,-102.309722
"AGTCH","Agostadero, Chih.",26.9,-106.8
"AGUAAZUL","Agua Azul, Chis. SGT*",17.248889,-92.114167
"AGUACAPACFE","Aguacapa, Ver. CFE*",18.368611,-95.016389
"AGUADULCE","Agua Dulce, Ver. INIFAP*",18.1,-94.126111
"AGUAMILPACFE","Aguamilpa, Nay. CFE*",21.842778,-104.802778
"AGUANUEVADR","Agua Nueva, Dgo. INIFAP*",25.804722,-104.6275
"AGUANUEVAZC","Agua Nueva, Zac. INIFAP*",23.782222,-102.159722
"AGUAPRIETA","km 9 Ejido Agua Prieta, Son. REMAS*",31.242778,-109.556111
"AGUAPUERCA","Agua Puerca, Jal. INIFAP*",20.193056,-103.723056
"AGUASALADACFE","Agua Salada, Gro. CFE*",17.178611,-99.631111
"AGUASCALIENTESo","Observatorio de Aguascalientes, Ags. SGT*",21.883333,-102.5
"AGUAZARCA","Agua Zarca, Col. INIFAP*",19.175,-103.92
"AGUILARgp","Los Aguilares, Gto. INIFAP*",20.579444,-101.066944
"AGUSTINMELGAR","Agustín Melgar, Dgo. SMN*",25.263333,-104.066111
"AGZCH","Abraham González, Chih.",28.481667,-107.482778
"AHAPB","Ahuatepec, Pue.",18.854167,-97.920833
"AHASL","Ahualulco, S.L.P.",22.4,-101.2
"AHLTP","Ahualulco, Tamps.",22.986944,-99.145556
"AHMSI","Ahome, Sin.",25.916667,-109.183333
"AHOME","Ahome, Sin. INIFAP*",25.848056,-109.207778
"AHSZC","Ahijaderos, Zac.",22.358333,-101.480556
"AHUALULCO","Ahualulco, Jal. INIFAP*",20.6925,-103.905
"AHUALULCOTP","Ahualulco, Tamps. SGT*",22.987778,-99.148889
"AHUGR","Ahuacuotzingo, Gro.",17.719722,-98.975278
"AHUPB","Ahuazontepec, Pue.",20.033056,-98.148056
"AHUSL","Ahuacatlán, S.L.P.",21.3,-99
"AHUZC","El Ahuichote, Zac.",22.563056,-103.1925
"AJCGR","Ajuchitlán, Gro.",18.154167,-100.5
"AJJJL","Ajojúcar, Jal.",21.599444,-102.436944
"AJSDF","Ajusco, Cd. de Méx.",19.218611,-99.210278
"AJTSL","Las Adjuntas, S.L.P.",21.972222,-98.558333
"AJUCHITLAN","Ajuchitlán, Gro. INIFAP*",18.112778,-100.526944
"AJUSCO","Ajusco, Cd. de Méx. UNAM*",19.214722,-99.188889
"AJUSCOcm","Ajusco, Cd. de Méx. SACMEX*",19.218611,-99.210278
"AJUSCODF","Ajusco, Cd. de Méx. SACMEX*",19.218611,-99.210278
"AKIYC","Akil, Yuc.",20.268056,-89.349444
"AL2NL","Allende Dos, N.L.",25.272778,-100.011944
"AL2SI","El Varejonal hidrométrica, Sin.",25.090278,-107.383333
"ALAMC","Las Alazanas, Mich.",20.184722,-101.488056
"ALAMEDA1","Alameda 1, Méx. FENIX*",18.861389,-99.440556
"ALAMEDA2","Alameda 2, Méx. FENIX*",18.845278,-99.460278
"AlamitoC","Alamito cerca Ojinaga, Chih., CILA*",29.523611,-104.2875
"ALAMITOS","Los Alamitos, Son. REMAS*",30.419167,-111.0925
"ALAMO","Álamo, Ver. INIFAP*",20.933889,-97.680278
"ALAMOS","Alamos, Son. SMN*",27.021667,-108.937778
"ALASO","Álamos, Son. SMN*",27.021667,-108.937778
"ALAVC","Álamo Temapache, Ver.",20.93,-97.68
"ALCGJ","Las Alcantarillas, Gto.",21.225833,-101.448611
"ALCJL","Alcaparrosa, Jal.",19.983889,-104.210278
"ALDAMA","Aldama, Chih. INIFAP*",28.852778,-105.86
"ALDCL","Allende, Coah.",28.34,-100.84
"ALDNL","Los Aldamas, N.L.",26.023611,-99.195833
"ALENL","Allende, N.L.",25.283333,-100.033333
"ALFAJAYUCAN","Alfajayucan, Hgo. INIFAP*",20.398333,-99.369444
"ALFGJ","Alfaro, Gto.",21.15,-101.605
"ALGMC","Alimentador del DR045 Laguna del Fresno, Mich.",19.816667,-100.383333
"ALGODONES","Los Algodones, Son. REMAS*",27.470833,-109.126944
"ALGODONESob","Observatorio de Algodones, B.C. SMN*",32.704722,-114.730278
"ALICANTES","Alicantes, Chih. INIFAP*",27.843056,-105.196667
"ALIMX","Alzate pequeña irrigación Río Turbio, Méx.",0,0
"ALLENDE","Allende, N.L. INIFAP*",25.300556,-99.999444
"ALMAG","Alamitos, Ags.",22.177222,-102.585833
"ALMAS","Las Palmas, Son. REMAS*",30.794444,-111.210278
"ALMBN","El Alamar, B.C.",32.527778,-116.9
"ALMCP","Almandro, Chis.",17.183333,-92.6625
"ALMOLOYA","Almoloya, Hgo. INIFAP*",19.751944,-98.362222
"ALMQR","Adolfo López Mateos, Q. Roo",19.633056,-88.6875
"ALMSI","Adolfo López Mateos, Sin.",25.101389,-107.388333
"ALMSO","Álamos, Son.",27.021667,-108.937778
"ALMVC","Almolonga, Ver.",19.588333,-97.784167
"ALMZC","Lic. Adolfo López Mateos, Zac.",23.644167,-103.405278
"ALOSL","Álvaro Obregón, S.L.P.",22.183333,-99.631667
"ALPMR","Alpanocán, Mor.",18.731111,-98.689722
