estacionID,fecha,nivel
CNDCA,2021/04/06 00:00:00,35.710
PLZCA,2021/04/06 00:00:00,1.200
SBNCL,2021/04/06 00:00:00,0.920
CL2CM,2021/04/06 00:00:00,1.700
CL3CM,2021/04/06 00:00:00,1.200
CLLCM,2021/04/06 00:00:00,0.000
DJLCM,2021/04/06 00:00:00,2.000
MADCM,2021/04/06 00:00:00,0.540
PN2CM,2021/04/06 00:00:00,1.560
PNTCM,2021/04/06 00:00:00,3.380
ACACP,2021/04/06 00:00:00,395.600
ANGCP,2021/04/06 00:00:00,526.680
BOQCP,2021/04/06 00:00:00,481.310
CACCP,2021/04/06 00:00:00,50.750
CASCP,2021/04/06 00:00:00,623.980
CHMCP,2021/04/06 00:00:00,563.040
DESCP,2021/04/06 00:00:00,23.600
ELNCP,2021/04/06 00:00:00,59.530
ESCCP,2021/04/06 00:00:00,85.200
GRICP,2021/04/06 00:00:00,188.420
HUECP,2021/04/06 00:00:00,21.150
HUICP,2021/04/06 00:00:00,19.970
JAPCP,2021/04/06 00:00:00,581.700
LACCP,2021/04/06 00:00:00,138.380
LFLCP,2021/04/06 00:00:00,2.500
MALCP,2021/04/06 00:00:00,172.850
MAPCP,2021/04/06 00:00:00,56.100
PCOCP,2021/04/06 00:00:00,569.820
PENCP,2021/04/06 00:00:00,85.500
PIJCP,2021/04/06 00:00:00,42.600
REFCP,2021/04/06 00:00:00,589.440
REVCP,2021/04/06 00:00:00,537.200
SAACP,2021/04/06 00:00:00,2.900
SAYCP,2021/04/06 00:00:00,231.920
SCRCP,2021/04/06 00:00:00,2103.820
SDOCP,2021/04/06 00:00:00,459.020
SMICP,2021/04/06 00:00:00,538.610
SNACP,2021/04/06 00:00:00,232.180
TAMCP,2021/04/06 00:00:00,299.400
TPICP,2021/04/06 00:00:00,15.750
TUXCP,2021/04/06 00:00:00,494.010
YAMCP,2021/04/06 00:00:00,326.900
BTPCH,2021/04/06 00:00:00,0.580
CL2CH,2021/04/06 00:00:00,2.420
CNDCH,2021/04/06 00:00:00,0.910
GPCCH,2021/04/06 00:00:00,0.510
IGNCH,2021/04/06 00:00:00,2.940
JMNCH,2021/04/06 00:00:00,0.000
TCNCH,2021/04/06 00:00:00,1.840
URECH,2021/04/06 00:00:00,2.000
CB3CL,2021/04/06 00:00:00,0.000
AMLDR,2021/04/06 00:00:00,2.380
CFRDR,2021/04/06 00:00:00,2.380
LFLDR,2021/04/06 00:00:00,0.000
PALDR,2021/04/06 00:00:00,0.610
SACDR,2021/04/06 00:00:00,1.020
SRDDR,2021/04/06 00:00:00,0.660
TDRDR,2021/04/06 00:00:00,1.200
TMZDR,2021/04/06 00:00:00,2.580
ACSGJ,2021/04/06 00:00:00,0.000
AMCGJ,2021/04/06 00:00:00,0.350
ANSGJ,2021/04/06 00:00:00,0.100
BEGGJ,2021/04/06 00:00:00,0.000
BRAGJ,2021/04/06 00:00:00,2.420
CEYGJ,2021/04/06 00:00:00,0.000
CSTGJ,2021/04/06 00:00:00,0.000
CYUGJ,2021/04/06 00:00:00,0.000
ECBGJ,2021/04/06 00:00:00,0.020
ECHGJ,2021/04/06 00:00:00,0.000
ECLGJ,2021/04/06 00:00:00,0.160
IALGJ,2021/04/06 00:00:00,1821.470
JCRGJ,2021/04/06 00:00:00,1.030
LADGJ,2021/04/06 00:00:00,0.000
MRKGJ,2021/04/06 00:00:00,-7.800
PERGJ,2021/04/06 00:00:00,0.000
SLCGJ,2021/04/06 00:00:00,1.120
SLMGJ,2021/04/06 00:00:00,2.000
SLSGJ,2021/04/06 00:00:00,1890.500
SLVGJ,2021/04/06 00:00:00,2.000
ARSHD,2021/04/06 00:00:00,0.160
ATCHD,2021/04/06 00:00:00,0.560
CDCHD,2021/04/06 00:00:00,0.000
CDEHD,2021/04/06 00:00:00,0.290
CDFHD,2021/04/06 00:00:00,2.500
CENHD,2021/04/06 00:00:00,1.950
CPEHD,2021/04/06 00:00:00,0.000
CSTHD,2021/04/06 00:00:00,2.940
CTEHD,2021/04/06 00:00:00,0.600
RESHD,2021/04/06 00:00:00,0.000
RTIHD,2021/04/06 00:00:00,0.710
RTTHD,2021/04/06 00:00:00,1.660
AJJJL,2021/04/06 00:00:00,0.000
ATEJL,2021/04/06 00:00:00,0.730
ATQJL,2021/04/06 00:00:00,1.590
BCSJL,2021/04/06 00:00:00,0.000
BOQJL,2021/04/06 00:00:00,0.400
CALJL,2021/04/06 00:00:00,0.130
CIHJL,2021/04/06 00:00:00,0.280
CORJL,2021/04/06 00:00:00,17.630
CULJL,2021/04/06 00:00:00,0.380
CUNJL,2021/04/06 00:00:00,0.600
CXTJL,2021/04/06 00:00:00,0.340
ELCJL,2021/04/06 00:00:00,0.440
LDMJL,2021/04/06 00:00:00,66.400
MALJL,2021/04/06 00:00:00,1520.700
RAMJL,2021/04/06 00:00:00,1.310
SAUJL,2021/04/06 00:00:00,0.800
SCRJL,2021/04/06 00:00:00,1.040
SGRJL,2021/04/06 00:00:00,0.000
ZAPJL,2021/04/06 00:00:00,0.740
ZULJL,2021/04/06 00:00:00,3.580
ACLMX,2021/04/06 00:00:00,1.460
ARBMX,2021/04/06 00:00:00,0.380
ATOMX,2021/04/06 00:00:00,39.620
CALMX,2021/04/06 00:00:00,96.380
CNPMX,2021/04/06 00:00:00,2343.720
EMOMX,2021/04/06 00:00:00,1.380
GDLMX,2021/04/06 00:00:00,2295.970
IXCMX,2021/04/06 00:00:00,96.860
MBLMX,2021/04/06 00:00:00,0.300
OBSMX,2021/04/06 00:00:00,0.000
PMEMX,2021/04/06 00:00:00,0.330
PTCMX,2021/04/06 00:00:00,2566.800
SB2MX,2021/04/06 00:00:00,46.020
SBBMX,2021/04/06 00:00:00,2559.500
SLAMX,2021/04/06 00:00:00,1.230
SLBMX,2021/04/06 00:00:00,23.490
SMLMX,2021/04/06 00:00:00,26.600
TBRMX,2021/04/06 00:00:00,0.070
TESMX,2021/04/06 00:00:00,0.300
TMCMX,2021/04/06 00:00:00,65.020
TTLMX,2021/04/06 00:00:00,1.100
VDCMX,2021/04/06 00:00:00,0.320
ADUMC,2021/04/06 00:00:00,1.240
BIBMC,2021/04/06 00:00:00,1523.850
CAMMC,2021/04/06 00:00:00,0.160
CHAMC,2021/04/06 00:00:00,1.320
EGIMC,2021/04/06 00:00:00,1.620
LPDMC,2021/04/06 00:00:00,1.900
RCEMC,2021/04/06 00:00:00,0.360
SCRMC,2021/04/06 00:00:00,1526.330
TLAMC,2021/04/06 00:00:00,0.120
VJIMC,2021/04/06 00:00:00,1974.580
YURMC,2021/04/06 00:00:00,0.120
ALUMR,2021/04/06 00:00:00,8.800
AMCMR,2021/04/06 00:00:00,0.380
CRDMR,2021/04/06 00:00:00,0.440
CUAMR,2021/04/06 00:00:00,9.950
CXXMR,2021/04/06 00:00:00,0.740
ESTMR,2021/04/06 00:00:00,4.500
PERMR,2021/04/06 00:00:00,0.280
TEMMR,2021/04/06 00:00:00,1.570
TICMR,2021/04/06 00:00:00,0.020
XICMR,2021/04/06 00:00:00,1.650
YAHMR,2021/04/06 00:00:00,0.130
ZCTMR,2021/04/06 00:00:00,0.470
ACANR,2021/04/06 00:00:00,0.070
CAPNR,2021/04/06 00:00:00,1.500
CHPNR,2021/04/06 00:00:00,1.630
GADNR,2021/04/06 00:00:00,1.080
GAINR,2021/04/06 00:00:00,1.280
GAVNR,2021/04/06 00:00:00,3.560
JMANR,2021/04/06 00:00:00,0.770
LESNR,2021/04/06 00:00:00,1.600
MOLNR,2021/04/06 00:00:00,0.470
PAJNR,2021/04/06 00:00:00,0.800
ROMNR,2021/04/06 00:00:00,0.720
RUINR,2021/04/06 00:00:00,0.760
ADJNL,2021/04/06 00:00:00,1.020
ALDNL,2021/04/06 00:00:00,1.900
BOCNL,2021/04/06 00:00:00,0.010
CABNL,2021/04/06 00:00:00,0.380
CAMNL,2021/04/06 00:00:00,0.480
CCHNL,2021/04/06 00:00:00,157.560
CDFNL,2021/04/06 00:00:00,0.260
CDRNL,2021/04/06 00:00:00,0.550
CPRNL,2021/04/06 00:00:00,268.930
LERNL,2021/04/06 00:00:00,0.380
PABNL,2021/04/06 00:00:00,0.320
PAMNL,2021/04/06 00:00:00,0.710
RDSNL,2021/04/06 00:00:00,1.180
BOQOX,2021/04/06 00:00:00,0.100
CHIOX,2021/04/06 00:00:00,1.250
CSPOX,2021/04/06 00:00:00,0.720
DPSOX,2021/04/06 00:00:00,58.280
EMAOX,2021/04/06 00:00:00,2.150
IXTOX,2021/04/06 00:00:00,0.660
JACOX,2021/04/06 00:00:00,34.060
MAROX,2021/04/06 00:00:00,130.740
NARPB,2021/04/06 00:00:00,1.330
PAPOX,2021/04/06 00:00:00,5.080
RHOOX,2021/04/06 00:00:00,3.950
STDOX,2021/04/06 00:00:00,1.140
TEQOX,2021/04/06 00:00:00,1.840
UCFOX,2021/04/06 00:00:00,0.320
ZANOX,2021/04/06 00:00:00,0.080
AVCPB,2021/04/06 00:00:00,201.500
BAIPB,2021/04/06 00:00:00,0.360
STLPB,2021/04/06 00:00:00,2.390
TYAPB,2021/04/06 00:00:00,0.350
AJTSL,2021/04/06 00:00:00,3.230
BLMSL,2021/04/06 00:00:00,29.280
GANSL,2021/04/06 00:00:00,262.850
MICSL,2021/04/06 00:00:00,0.200
NRJSL,2021/04/06 00:00:00,0.360
PUJSL,2021/04/06 00:00:00,0.680
RQTSL,2021/04/06 00:00:00,0.200
STRSL,2021/04/06 00:00:00,0.320
SVTSL,2021/04/06 00:00:00,0.130
TBLSL,2021/04/06 00:00:00,137.510
TMISL,2021/04/06 00:00:00,12.110
TMTSL,2021/04/06 00:00:00,111.920
AL2SI,2021/04/06 00:00:00,1.780
BCBSI,2021/04/06 00:00:00,0.000
CHXSI,2021/04/06 00:00:00,0.000
GD2SI,2021/04/06 00:00:00,0.300
IXPSI,2021/04/06 00:00:00,2.180
LD2SI,2021/04/06 00:00:00,5.480
LDCSI,2021/04/06 00:00:00,215.200
QLTSI,2021/04/06 00:00:00,0.000
RAVSI,2021/04/06 00:00:00,0.000
SCRSI,2021/04/06 00:00:00,1.250
SN2SI,2021/04/06 00:00:00,1.380
SQRSI,2021/04/06 00:00:00,6.920
TBRSI,2021/04/06 00:00:00,1.190
TORSI,2021/04/06 00:00:00,0.240
ZOPSI,2021/04/06 00:00:00,0.340
CCRSO,2021/04/06 00:00:00,0.990
CJNSO,2021/04/06 00:00:00,1.610
CZNSO,2021/04/06 00:00:00,0.000
ECBSO,2021/04/06 00:00:00,1.020
NYNSO,2021/04/06 00:00:00,385.800
ORGSO,2021/04/06 00:00:00,5.000
PDNSO,2021/04/06 00:00:00,0.680
PTASO,2021/04/06 00:00:00,0.750
PTQSO,2021/04/06 00:00:00,286.100
SBNSO,2021/04/06 00:00:00,154.900
SRSSO,2021/04/06 00:00:00,529.300
TSOSO,2021/04/06 00:00:00,9.500
BDCTB,2021/04/06 00:00:00,12.190
EMUTB,2021/04/06 00:00:00,1.220
EPOTB,2021/04/06 00:00:00,0.940
